漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
270,494,衡,衡,コウ,均衡,きんこう,平衡,へいこう,度量衡,どりょうこう,均衡(きんこう),平衡(へいこう),度量衡(どりょうこう),
271,495,購,購,コウ,購入,こうにゅう,購買,こうばい,購読,こうどく,購入(こうにゅう),購買(こうばい),購読(こうどく),
272,496,拷,拷,ゴウ,拷問,ごうもん,,,,,拷問(ごうもん),,,
273,497,剛,剛,ゴウ,剛健,ごうけん,,,,,剛健(ごうけん),,,
274,498,豪,豪,ゴウ,豪遊,ごうゆう,豪雨,ごうう,文豪,ぶんごう,豪遊(ごうゆう),豪雨(ごうう),文豪(ぶんごう),
275,499,克,克,コク,克服,こくふく,克明,かつあき,克己,かつみ,克服(こくふく),克明(かつあき),克己(かつみ),
276,500,酷,酷,コク,酷似,こくじ,冷酷,れいこく,残酷,ざんこく,酷似(こくじ),冷酷(れいこく),残酷(ざんこく),
277,501,獄,獄,ゴク,獄舎,ごくしゃ,地獄,じごく,疑獄,ぎごく,獄舎(ごくしゃ),地獄(じごく),疑獄(ぎごく),
278,502,込,込,こむ,込む,こむ,,,,,込む(こむ),,,
278,503,込,込,こめる,込める,こめる,,,,,込める(こめる),,,
279,504,昆,昆,コン,昆虫,こんちゅう,,,,,昆虫(こんちゅう),,,「昆布」は，「コブ」とも。
280,505,恨,恨,コン,遺恨,いこん,痛恨,つうこん,悔恨,かいこん,遺恨(いこん),痛恨(つうこん),悔恨(かいこん),
280,506,恨,恨,うらむ,恨む,うらむ,,,,,恨む(うらむ),,,
280,507,恨,恨,うらめしい,恨めしい,うらめしい,,,,,恨めしい(うらめしい),,,
281,508,婚,婚,コン,婚約,こんやく,結婚,けっこん,新婚,しんこん,婚約(こんやく),結婚(けっこん),新婚(しんこん),
282,509,紺,紺,コン,紺青,こんじょう,紺屋,こうや,濃紺,のうこん,紺青(こんじょう),紺屋(こうや),濃紺(のうこん),「紺屋」は，「コウや」とも。
283,510,魂,魂,コン,魂胆,こんたん,霊魂,れいこん,商魂,しょうこん,魂胆(こんたん),霊魂(れいこん),商魂(しょうこん),
283,511,魂,魂,たましい,魂,たましい,,,,,魂(たましい),,,
284,512,墾,墾,コン,開墾,かいこん,,,,,開墾(かいこん),,,
285,513,懇,懇,コン,懇切,こんせつ,,,,,懇切(こんせつ),,,
285,514,懇,懇,ねんごろ,懇ろだ,ねんごろだ,,,,,懇ろだ(ねんごろだ),,,
286,515,唆,唆,サ,教唆,きょうさ,,,,,教唆(きょうさ),,,
286,516,唆,唆,そそのかす,唆す,そそのかす,,,,,唆す(そそのかす),,,
287,517,詐,詐,サ,詐欺,さぎ,詐取,さしゅ,詐称,さしょう,詐欺(さぎ),詐取(さしゅ),詐称(さしょう),
288,518,鎖,鎖,サ,鎖国,さこく,連鎖,れんさ,封鎖,ふうさ,鎖国(さこく),連鎖(れんさ),封鎖(ふうさ),
288,519,鎖,鎖,くさり,鎖,くさり,,,,,鎖(くさり),,,
289,520,砕(碎),砕,サイ,砕石,さいせき,砕氷,さいひょう,粉砕,ふんさい,砕石(さいせき),砕氷(さいひょう),粉砕(ふんさい),
289,521,砕(碎),砕,くだく,砕く,くだく,,,,,砕く(くだく),,,
289,522,砕(碎),砕,くだける,砕ける,くだける,,,,,砕ける(くだける),,,
290,523,宰,宰,サイ,宰領,さいりょう,宰相,さいしょう,主宰,しゅさい,宰領(さいりょう),宰相(さいしょう),主宰(しゅさい),
291,524,栽,栽,サイ,栽培,さいばい,,,,,栽培(さいばい),,,
292,525,彩,彩,サイ,彩色,さいしき,色彩,しきさい,淡彩,たんさい,彩色(さいしき),色彩(しきさい),淡彩(たんさい),
292,526,彩,彩,いろどる,彩る,いろどる,,,,,彩る(いろどる),,,
293,527,斎(齋),斎,サイ,斎場,さいじょう,潔斎,けっさい,書斎,しょさい,斎場(さいじょう),潔斎(けっさい),書斎(しょさい),
294,528,債,債,サイ,債務,さいむ,負債,ふさい,公債,こうさい,債務(さいむ),負債(ふさい),公債(こうさい),
295,529,催,催,サイ,催眠,さいみん,開催,かいさい,主催,しゅさい,催眠(さいみん),開催(かいさい),主催(しゅさい),
295,530,催,催,もよおす,催す,もよおす,,,,,催す(もよおす),,,
296,531,歳,歳,サイ,歳末,さいまつ,歳月,さいげつ,二十歳,はたち,歳末(さいまつ),歳月(さいげつ),二十歳(はたち),二十歳(はたち)
296,532,歳,歳,セイ,歳暮,せいぼ,,,,,歳暮(せいぼ),,,
297,533,載,載,サイ,積載,せきさい,掲載,けいさい,記載,きさい,積載(せきさい),掲載(けいさい),記載(きさい),
297,534,載,載,のせる,載せる,のせる,,,,,載せる(のせる),,,←→乗せる
297,535,載,載,のる,載る,のる,,,,,載る(のる),,,←→乗る
298,536,剤(劑),剤,ザイ,薬剤師,やくざいし,錠剤,じょうざい,消化剤,しょうかざい,薬剤師(やくざいし),錠剤(じょうざい),消化剤(しょうかざい),
299,537,削,削,サク,削除,さくじょ,削減,さくげん,添削,てんさく,削除(さくじょ),削減(さくげん),添削(てんさく),
299,538,削,削,けずる,削る,けずる,,,,,削る(けずる),,,
300,539,索,索,サク,索引,さくいん,思索,しさく,鉄索,てっさく,索引(さくいん),思索(しさく),鉄索(てっさく),
301,540,酢,酢,サク,酢酸,さくさん,,,,,酢酸(さくさん),,,
301,541,酢,酢,す,酢,す,,,,,酢(す),,,
302,542,搾,搾,サク,搾取,さくしゅ,,,,,搾取(さくしゅ),,,
302,543,搾,搾,しぼる,搾る,しぼる,,,,,搾る(しぼる),,,←→絞る
303,544,錯,錯,サク,錯誤,さくご,錯覚,さっかく,交錯,こうさく,錯誤(さくご),錯覚(さっかく),交錯(こうさく),
304,545,咲,咲,さく,咲く,さく,,,,,咲く(さく),,,
305,546,撮,撮,サツ,撮影,さつえい,,,,,撮影(さつえい),,,
305,547,撮,撮,とる,撮る,とる,,,,,撮る(とる),,,
306,548,擦,擦,サツ,擦過傷,さっかしょう,,,,,擦過傷(さっかしょう),,,
306,549,擦,擦,する,擦る,する,,,,,擦る(する),,,
306,550,擦,擦,すれる,擦れる,すれる,,,,,擦れる(すれる),,,
307,551,桟(棧),桟,サン,桟,さん,,,,,桟(さん),,,桟敷(さじき)
308,552,惨(慘),惨,サン,惨劇,さんげき,悲惨,ひさん,陰惨,いんさん,惨劇(さんげき),悲惨(ひさん),陰惨(いんさん),
308,553,惨(慘),惨,ザン,惨死,ざんし,,,,,惨死(ざんし),,,
308,554,惨(慘),惨,みじめ,惨めだ,みじめだ,,,,,惨めだ(みじめだ),,,
309,555,傘,傘,サン,傘下,さんか,,,,,傘下(さんか),,,
309,556,傘,傘,かさ,傘,かさ,雨傘,あまがさ,日傘,ひがさ,傘(かさ),雨傘(あまがさ),日傘(ひがさ),
310,557,暫,暫,ザン,暫時,ざんじ,,,,,暫時(ざんじ),,,
311,558,旨,旨,シ,要旨,ようし,趣旨,しゅし,本旨,ほんし,要旨(ようし),趣旨(しゅし),本旨(ほんし),
311,559,旨,旨,むね,旨,むね,,,,,旨(むね),,,
312,560,伺,伺,シ,伺候,しこう,,,,,伺候(しこう),,,
312,561,伺,伺,うかがう,伺う,うかがう,,,,,伺う(うかがう),,,
313,562,刺,刺,シ,刺激,しげき,名刺,めいし,風刺,ふうし,刺激(しげき),名刺(めいし),風刺(ふうし),
313,563,刺,刺,さす,刺す,さす,,,,,刺す(さす),,,←→差す，指す，挿す
313,564,刺,刺,ささる,刺さる,ささる,,,,,刺さる(ささる),,,
314,565,雌,雌,シ,雌雄,しゆう,,,,,雌雄(しゆう),,,
314,566,雌,雌,め,雌花,めばな,雌牛,めうし,雌しべ,めしべ,雌花(めばな),雌牛(めうし),雌しべ(めしべ),
314,567,雌,雌,めす,雌,めす,,,,,雌(めす),,,
315,568,賜,賜,シ,賜暇,しか,下賜,かし,恩賜,おんし,賜暇(しか),下賜(かし),恩賜(おんし),
315,569,賜,賜,たまわる,賜る,たまわる,,,,,賜る(たまわる),,,
316,570,諮,諮,シ,諮問,しもん,,,,,諮問(しもん),,,
316,571,諮,諮,はかる,諮る,はかる,,,,,諮る(はかる),,,
317,572,侍,侍,ジ,侍従,じじゅう,侍女,じじょ,侍医,じい,侍従(じじゅう),侍女(じじょ),侍医(じい),
317,573,侍,侍,さむらい,侍,さむらい,,,,,侍(さむらい),,,
318,574,慈,慈,ジ,慈愛,じあい,慈善,じぜん,慈悲,じひ,慈愛(じあい),慈善(じぜん),慈悲(じひ),
318,575,慈,慈,いつくしむ,慈しむ,いつくしむ,,,,,慈しむ(いつくしむ),,,
319,576,璽,璽,ジ,御璽,ぎょじ,,,,,御璽(ぎょじ),,,
320,577,軸,軸,ジク,軸,じく,車軸,しゃじく,地軸,ちじく,軸(じく),車軸(しゃじく),地軸(ちじく),
321,578,疾,疾,シツ,疾患,しっかん,疾走,しっそう,悪疾,あくしつ,疾患(しっかん),疾走(しっそう),悪疾(あくしつ),
322,579,執,執,シツ,執務,しつむ,執筆,しっぴつ,確執,かくしつ,執務(しつむ),執筆(しっぴつ),確執(かくしつ),
322,580,執,執,シュウ,執念,しゅうねん,執心,しゅうしん,我執,がしゅう,執念(しゅうねん),執心(しゅうしん),我執(がしゅう),
322,581,執,執,とる,執る,とる,,,,,執る(とる),,,←→取る，採る
323,582,湿(濕),湿,シツ,湿度,しつど,湿地,しっち,多湿,たしつ,湿度(しつど),湿地(しっち),多湿(たしつ),
323,583,湿(濕),湿,しめる,湿る,しめる,,,,,湿る(しめる),,,
323,584,湿(濕),湿,しめす,湿す,しめす,,,,,湿す(しめす),,,
324,585,漆,漆,シツ,漆器,しっき,漆黒,しっこく,乾漆,かんしつ,漆器(しっき),漆黒(しっこく),乾漆(かんしつ),
324,586,漆,漆,うるし,漆,うるし,,,,,漆(うるし),,,
325,587,芝,芝,しば,芝,しば,,,,,芝(しば),,,芝生(しばふ)
326,588,赦,赦,シャ,赦免,しゃめん,大赦,たいしゃ,恩赦,おんしゃ,赦免(しゃめん),大赦(たいしゃ),恩赦(おんしゃ),
327,589,斜,斜,シャ,斜面,しゃめん,斜線,しゃせん,傾斜,けいしゃ,斜面(しゃめん),斜線(しゃせん),傾斜(けいしゃ),
327,590,斜,斜,ななめ,斜め,ななめ,,,,,斜め(ななめ),,,
328,591,煮(),煮,シャ,煮沸,しゃふつ,,,,,煮沸(しゃふつ),,,
328,592,煮(),煮,にる,煮る,にる,,,,,煮る(にる),,,
328,593,煮(),煮,にえる,煮える,にえる,,,,,煮える(にえる),,,
328,594,煮(),煮,にやす,業を煮やす,ごうをにやす,,,,,業を煮やす(ごうをにやす),,,
329,595,遮,遮,シャ,遮断,しゃだん,,,,,遮断(しゃだん),,,
329,596,遮,遮,さえぎる,遮る,さえぎる,,,,,遮る(さえぎる),,,
330,597,邪,邪,ジャ,邪悪,じゃあく,邪推,じゃすい,正邪,せいじゃ,邪悪(じゃあく),邪推(じゃすい),正邪(せいじゃ),風邪(かぜ)
331,598,蛇,蛇,ジャ,蛇の目,じゃのめ,蛇腹,じゃばら,大蛇,だいじゃ,蛇の目(じゃのめ),蛇腹(じゃばら),大蛇(だいじゃ),
331,599,蛇,蛇,ダ,蛇行,だこう,蛇足,だそく,長蛇,ちょうだ,蛇行(だこう),蛇足(だそく),長蛇(ちょうだ),
331,600,蛇,蛇,へび,蛇,へび,,,,,蛇(へび),,,
332,601,勺,勺,シャク,0,0,,,,,0(0),,,
333,602,酌,酌,シャク,酌量,しゃくりょう,,,,,酌量(しゃくりょう),,,
333,603,酌,酌,くむ,酌む,くむ,,,,,酌む(くむ),,,
334,604,釈(釋),釈,シャク,釈明,しゃくめい,釈放,しゃくほう,解釈,かいしゃく,釈明(しゃくめい),釈放(しゃくほう),解釈(かいしゃく),
335,605,爵,爵,シャク,爵位,しゃくい,,,,,爵位(しゃくい),,,
336,606,寂,寂,ジャク,寂滅,じゃくめつ,静寂,せいじゃく,閑寂,かんじゃく,寂滅(じゃくめつ),静寂(せいじゃく),閑寂(かんじゃく),
336,607,寂,寂,セキ,寂然,せきぜん,,,,,寂然(せきぜん),,,「寂然」は，「ジャクネン」とも。
336,608,寂,寂,さび,寂,さび,,,,,寂(さび),,,
336,609,寂,寂,さびしい,寂しい,さびしい,,,,,寂しい(さびしい),,,
336,610,寂,寂,さびれる,寂れる,さびれる,,,,,寂れる(さびれる),,,
337,611,朱,朱,シュ,朱肉,しゅにく,朱筆,しゅひつ,朱塗り,しゅぬり,朱肉(しゅにく),朱筆(しゅひつ),朱塗り(しゅぬり),
338,612,狩,狩,シュ,狩猟,しゅりょう,,,,,狩猟(しゅりょう),,,
338,613,狩,狩,かる,狩る,かる,,,,,狩る(かる),,,
338,614,狩,狩,かり,狩り,かり,,,,,狩り(かり),,,
339,615,殊,殊,シュ,殊勝,しゅしょう,殊勲,しゅくん,特殊,とくしゅ,殊勝(しゅしょう),殊勲(しゅくん),特殊(とくしゅ),
339,616,殊,殊,こと,殊に,ことに,殊の外,ことのほか,殊更,ことさら,殊に(ことに),殊の外(ことのほか),殊更(ことさら),
340,617,珠,珠,シュ,珠玉,しゅぎょく,珠算,しゅざん,真珠,しんじゅ,珠玉(しゅぎょく),珠算(しゅざん),真珠(しんじゅ),数珠(じゅず)
341,618,趣,趣,シュ,趣向,しゅこう,趣味,しゅみ,興趣,きょうしゅ,趣向(しゅこう),趣味(しゅみ),興趣(きょうしゅ),
341,619,趣,趣,おもむき,趣,おもむき,,,,,趣(おもむき),,,
342,620,寿(壽),寿,ジュ,寿命,じゅみょう,長寿,ちょうじゅ,米寿,べいじゅ,寿命(じゅみょう),長寿(ちょうじゅ),米寿(べいじゅ),
342,621,寿(壽),寿,ことぶき,寿,ひさし,,,,,寿(ひさし),,,
343,622,需,需,ジュ,需要,じゅよう,需給,じゅきゅう,必需品,ひつじゅひん,需要(じゅよう),需給(じゅきゅう),必需品(ひつじゅひん),
344,623,儒,儒,ジュ,儒学,じゅがく,儒教,じゅきょう,儒者,じゅしゃ,儒学(じゅがく),儒教(じゅきょう),儒者(じゅしゃ),
345,624,囚,囚,シュウ,囚人,しゅうじん,,,,,囚人(しゅうじん),,,
346,625,舟,舟,シュウ,舟運,しゅううん,舟艇,せんてい,舟航,しゅうこう,舟運(しゅううん),舟艇(せんてい),舟航(しゅうこう),
346,626,舟,舟,ふね,舟,ふね,小舟,こぶね,渡し舟,わたしぶね,舟(ふね),小舟(こぶね),渡し舟(わたしぶね),←→船
346,627,舟,舟,ふな,舟遊び,ふなあそび,舟宿,ふなやど,舟歌,ふなうた,舟遊び(ふなあそび),舟宿(ふなやど),舟歌(ふなうた),
347,628,秀,秀,シュウ,秀逸,しゅういつ,秀才,しゅうさい,優秀,ゆうしゅう,秀逸(しゅういつ),秀才(しゅうさい),優秀(ゆうしゅう),
347,629,秀,秀,ひいでる,秀でる,ひいでる,,,,,秀でる(ひいでる),,,
348,630,臭(),臭,シュウ,臭気,しゅうき,悪臭,あくしゅう,俗臭,ぞくしゅう,臭気(しゅうき),悪臭(あくしゅう),俗臭(ぞくしゅう),
348,631,臭(),臭,くさい,臭い,くさい,臭み,くさみ,臭さ,くささ,臭い(くさい),臭み(くさみ),臭さ(くささ),
349,632,愁,愁,シュウ,愁傷,しゅうしょう,哀愁,あいしゅう,憂愁,ゆうしゅう,愁傷(しゅうしょう),哀愁(あいしゅう),憂愁(ゆうしゅう),
349,633,愁,愁,うれえる,愁える,うれえる,,,,,愁える(うれえる),,,←→憂える
349,634,愁,愁,うれい,愁い,うれい,,,,,愁い(うれい),,,←→憂い
350,635,酬,酬,シュウ,報酬,ほうしゅう,,,,,報酬(ほうしゅう),,,
351,636,醜,醜,シュウ,醜悪,しゅうあく,醜態,しゅうたい,美醜,びしゅう,醜悪(しゅうあく),醜態(しゅうたい),美醜(びしゅう),
351,637,醜,醜,みにくい,醜い,みにくい,,,,,醜い(みにくい),,,
352,638,襲,襲,シュウ,襲撃,しゅうげき,襲名,しゅうめい,世襲,せしゅう,襲撃(しゅうげき),襲名(しゅうめい),世襲(せしゅう),
352,639,襲,襲,おそう,襲う,おそう,,,,,襲う(おそう),,,
353,640,汁,汁,ジュウ,果汁,かじゅう,,,,,果汁(かじゅう),,,
353,641,汁,汁,しる,汁,しる,,,,,汁(しる),,,
354,642,充,充,ジュウ,充実,じゅうじつ,充電,じゅうでん,補充,ほじゅう,充実(じゅうじつ),充電(じゅうでん),補充(ほじゅう),
354,643,充,充,あてる,充てる,あてる,,,,,充てる(あてる),,,←→当てる
355,644,柔,柔,ジュウ,柔軟,じゅうなん,柔道,じゅうどう,懐柔,かいじゅう,柔軟(じゅうなん),柔道(じゅうどう),懐柔(かいじゅう),
355,645,柔,柔,ニュウ,柔和,にゅうわ,,,,,柔和(にゅうわ),,,
355,646,柔,柔,やわらか,柔らかだ,やわらかだ,,,,,柔らかだ(やわらかだ),,,←→軟らか
355,647,柔,柔,やわらかい,柔らかい,やわらかい,,,,,柔らかい(やわらかい),,,←→軟らかい
356,648,渋(澁),渋,ジュウ,渋滞,じゅうたい,,,,,渋滞(じゅうたい),,,
356,649,渋(澁),渋,しぶ,渋,しぶ,,,,,渋(しぶ),,,
356,650,渋(澁),渋,しぶい,渋い,しぶい,渋さ,しぶさ,渋み,しぶみ,渋い(しぶい),渋さ(しぶさ),渋み(しぶみ),
356,651,渋(澁),渋,しぶる,渋る,しぶる,,,,,渋る(しぶる),,,
357,652,銃,銃,ジュウ,銃砲,じゅうほう,銃弾,じゅうだん,小銃,しょうじゅう,銃砲(じゅうほう),銃弾(じゅうだん),小銃(しょうじゅう),
358,653,獣(獸),獣,ジュウ,獣類,じゅうるい,猛獣,もうじゅう,鳥獣,ちょうじゅう,獣類(じゅうるい),猛獣(もうじゅう),鳥獣(ちょうじゅう),
358,654,獣(獸),獣,けもの,獣,けもの,,,,,獣(けもの),,,
359,655,叔,叔,シュク,伯叔,はくしゅく,,,,,伯叔(はくしゅく),,,叔父(おじ)
359,656,叔,叔,,0,0,,,,,0(0),,,叔母(おば)
360,657,淑,淑,シュク,淑女,しゅくじょ,貞淑,ていしゅく,私淑,ししゅく,淑女(しゅくじょ),貞淑(ていしゅく),私淑(ししゅく),
361,658,粛(肅),粛,シュク,粛清,しゅくせい,静粛,せいしゅく,自粛,じしゅく,粛清(しゅくせい),静粛(せいしゅく),自粛(じしゅく),
362,659,塾,塾,ジュク,塾,じゅく,,,,,塾(じゅく),,,
363,660,俊,俊,シュン,俊敏,しゅんびん,俊秀,としひで,俊才,しゅんさい,俊敏(しゅんびん),俊秀(としひで),俊才(しゅんさい),
364,661,瞬,瞬,シュン,瞬間,しゅんかん,瞬時,しゅんじ,一瞬,いっしゅん,瞬間(しゅんかん),瞬時(しゅんじ),一瞬(いっしゅん),
364,662,瞬,瞬,またたく,瞬く,まばたく,,,,,瞬く(まばたく),,,
365,663,旬,旬,ジュン,旬刊,じゅんかん,,,,,旬刊(じゅんかん),,,
366,664,巡,巡,ジュン,巡回,じゅんかい,巡業,じゅんぎょう,一巡,いちじゅん,巡回(じゅんかい),巡業(じゅんぎょう),一巡(いちじゅん),
366,665,巡,巡,めぐる,巡る,めぐる,,,,,巡る(めぐる),,,お巡(まわ)りさん
367,666,盾,盾,ジュン,矛盾,むじゅん,,,,,矛盾(むじゅん),,,
367,667,盾,盾,たて,盾,たて,,,,,盾(たて),,,
368,668,准,准,ジュン,准将,じゅんしょう,,,,,准将(じゅんしょう),,,
369,669,殉,殉,ジュン,殉死,じゅんし,殉職,じゅんしょく,殉難,じゅんなん,殉死(じゅんし),殉職(じゅんしょく),殉難(じゅんなん),
370,670,循,循,ジュン,循環,じゅんかん,,,,,循環(じゅんかん),,,
371,671,潤,潤,ジュン,潤色,じゅんしょく,潤沢,じゅんたく,湿潤,しつじゅん,潤色(じゅんしょく),潤沢(じゅんたく),湿潤(しつじゅん),
371,672,潤,潤,うるおう,潤う,うるおう,,,,,潤う(うるおう),,,
371,673,潤,潤,うるおす,潤す,うるおす,,,,,潤す(うるおす),,,
371,674,潤,潤,うるむ,潤む,うるむ,,,,,潤む(うるむ),,,
372,675,遵,遵,ジュン,遵守,じゅんしゅ,,,,,遵守(じゅんしゅ),,,
373,676,庶,庶,ショ,庶民,しょみん,,,,,庶民(しょみん),,,
374,677,緒(),緒,ショ,緒戦,しょせん,由緒,ゆいしょ,端緒,たんしょ,緒戦(しょせん),由緒(ゆいしょ),端緒(たんしょ),
374,678,緒(),緒,チョ,情緒,じょうちょ,,,,,情緒(じょうちょ),,,「情緒」は，「ジョウショ」とも。
374,679,緒(),緒,お,緒,お,,,,,緒(お),,,
375,680,如,如,ジョ,欠如,けつじょ,突如,とつじょ,躍如,やくじょ,欠如(けつじょ),突如(とつじょ),躍如(やくじょ),
375,681,如,如,ニョ,如実,にょじつ,如来,にょらい,不如意,ふにょい,如実(にょじつ),如来(にょらい),不如意(ふにょい),
376,682,叙(敍),叙,ジョ,叙述,じょじゅつ,叙景,じょけい,叙勲,じょくん,叙述(じょじゅつ),叙景(じょけい),叙勲(じょくん),
377,683,徐,徐,ジョ,徐行,じょこう,,,,,徐行(じょこう),,,
378,684,升,升,ショウ,0,0,,,,,0(0),,,
378,685,升,升,ます,升,ます,,,,,升(ます),,,
379,686,召,召,ショウ,召喚,しょうかん,,,,,召喚(しょうかん),,,
379,687,召,召,めす,召す,めす,,,,,召す(めす),,,
380,688,匠,匠,ショウ,師匠,ししょう,巨匠,きょしょう,意匠,いしょう,師匠(ししょう),巨匠(きょしょう),意匠(いしょう),
381,689,床,床,ショウ,起床,きしょう,病床,びょうしょう,温床,おんしょう,起床(きしょう),病床(びょうしょう),温床(おんしょう),
381,690,床,床,とこ,床,ゆか,床の間,とこのま,寝床,ねどこ,床(ゆか),床の間(とこのま),寝床(ねどこ),
381,691,床,床,ゆか,床,ゆか,,,,,床(ゆか),,,
382,692,抄,抄,ショウ,抄録,しょうろく,抄本,しょうほん,抄訳,しょうやく,抄録(しょうろく),抄本(しょうほん),抄訳(しょうやく),
383,693,肖,肖,ショウ,肖像,しょうぞう,,,,,肖像(しょうぞう),,,
384,694,尚,尚,ショウ,尚早,しょうそう,,,,,尚早(しょうそう),,,
385,695,昇,昇,ショウ,昇降,しょうこう,昇進,しょうしん,上昇,じょうしょう,昇降(しょうこう),昇進(しょうしん),上昇(じょうしょう),
385,696,昇,昇,のぼる,昇る,のぼる,,,,,昇る(のぼる),,,←→上る，登る
386,697,沼,沼,ショウ,沼沢,ぬまざわ,,,,,沼沢(ぬまざわ),,,
386,698,沼,沼,ぬま,沼,ぬま,,,,,沼(ぬま),,,
387,699,宵,宵,ショウ,徹宵,てっしょう,,,,,徹宵(てっしょう),,,
387,700,宵,宵,よい,宵,よい,,,,,宵(よい),,,
388,701,症,症,ショウ,症状,しょうじょう,炎症,えんしょう,重症,じゅうしょう,症状(しょうじょう),炎症(えんしょう),重症(じゅうしょう),
389,702,祥(),祥,ショウ,発祥,はっしょう,吉祥,きちじょう,不祥事,ふしょうじ,発祥(はっしょう),吉祥(きちじょう),不祥事(ふしょうじ),
390,703,称(),称,ショウ,称賛,しょうさん,名称,めいしょう,称する,しょうする,称賛(しょうさん),名称(めいしょう),称する(しょうする),
391,704,渉(),渉,ショウ,渉外,しょうがい,干渉,かんしょう,交渉,こうしょう,渉外(しょうがい),干渉(かんしょう),交渉(こうしょう),
392,705,紹,紹,ショウ,紹介,しょうかい,,,,,紹介(しょうかい),,,
393,706,訟,訟,ショウ,訴訟,そしょう,,,,,訴訟(そしょう),,,
394,707,掌,掌,ショウ,掌中,しょうちゅう,職掌,しょくしょう,車掌,しゃしょう,掌中(しょうちゅう),職掌(しょくしょう),車掌(しゃしょう),
395,708,晶,晶,ショウ,結晶,けっしょう,,,,,結晶(けっしょう),,,
396,709,焦,焦,ショウ,焦土,しょうど,焦慮,しょうりょ,焦心,しょうしん,焦土(しょうど),焦慮(しょうりょ),焦心(しょうしん),
396,710,焦,焦,こげる,焦げる,こげる,,,,,焦げる(こげる),,,
396,711,焦,焦,こがす,焦がす,こがす,,,,,焦がす(こがす),,,
396,712,焦,焦,こがれる,焦がれる,こがれる,,,,,焦がれる(こがれる),,,
396,713,焦,焦,あせる,焦る,あせる,,,,,焦る(あせる),,,
397,714,硝,硝,ショウ,硝石,しょうせき,,,,,硝石(しょうせき),,,
398,715,粧,粧,ショウ,化粧,けしょう,,,,,化粧(けしょう),,,
399,716,詔,詔,ショウ,詔勅,しょうちょく,,,,,詔勅(しょうちょく),,,
399,717,詔,詔,みことのり,詔,みことのり,,,,,詔(みことのり),,,
400,718,奨(奬),奨,ショウ,奨励,しょうれい,奨学金,しょうがくきん,推奨,すいしょう,奨励(しょうれい),奨学金(しょうがくきん),推奨(すいしょう),
401,719,詳,詳,ショウ,詳細,しょうさい,詳報,しょうほう,未詳,みしょう,詳細(しょうさい),詳報(しょうほう),未詳(みしょう),
401,720,詳,詳,くわしい,詳しい,くわしい,,,,,詳しい(くわしい),,,
402,721,彰,彰,ショウ,表彰,ひょうしょう,,,,,表彰(ひょうしょう),,,
403,722,衝,衝,ショウ,衝突,しょうとつ,衝動,しょうどう,折衝,せっしょう,衝突(しょうとつ),衝動(しょうどう),折衝(せっしょう),
404,723,償,償,ショウ,償金,しょうきん,弁償,べんしょう,代償,だいしょう,償金(しょうきん),弁償(べんしょう),代償(だいしょう),
404,724,償,償,つぐなう,償う,つぐなう,,,,,償う(つぐなう),,,
405,725,礁,礁,ショウ,岩礁,がんしょう,暗礁,あんしょう,さんご礁,さんごしょう,岩礁(がんしょう),暗礁(あんしょう),さんご礁(さんごしょう),
406,726,鐘,鐘,ショウ,半鐘,はんしょう,,,,,半鐘(はんしょう),,,
406,727,鐘,鐘,かね,鐘,かね,,,,,鐘(かね),,,
407,728,丈,丈,ジョウ,丈六,じょうろく,,,,,丈六(じょうろく),,,
407,729,丈,丈,たけ,丈,たけ,,,,,丈(たけ),,,
408,730,冗,冗,ジョウ,冗談,じょうだん,冗長,じょうちょう,冗費,じょうひ,冗談(じょうだん),冗長(じょうちょう),冗費(じょうひ),
409,731,浄(淨),浄,ジョウ,浄化,じょうか,清浄,しょうじょう,不浄,ふじょう,浄化(じょうか),清浄(しょうじょう),不浄(ふじょう),
410,732,剰(剩),剰,ジョウ,剰余,じょうよ,過剰,かじょう,余剰,よじょう,剰余(じょうよ),過剰(かじょう),余剰(よじょう),
411,733,畳(疊),畳,ジョウ,畳語,じょうご,,,,,畳語(じょうご),,,
411,734,畳(疊),畳,たたむ,畳む,たたむ,,,,,畳む(たたむ),,,
411,735,畳(疊),畳,たたみ,畳,たたみ,畳表,たたみおもて,青畳,あおだたみ,畳(たたみ),畳表(たたみおもて),青畳(あおだたみ),
412,736,壌(壤),壌,ジョウ,土壌,どじょう,,,,,土壌(どじょう),,,
413,737,嬢(孃),嬢,ジョウ,令嬢,れいじょう,愛嬢,あいじょう,お嬢さん,おじょうさん,令嬢(れいじょう),愛嬢(あいじょう),お嬢さん(おじょうさん),
414,738,錠,錠,ジョウ,錠前,じょうまえ,錠剤,じょうざい,手錠,てじょう,錠前(じょうまえ),錠剤(じょうざい),手錠(てじょう),
415,739,譲(讓),譲,ジョウ,譲渡,じょうと,譲歩,じょうほ,謙譲,けんじょう,譲渡(じょうと),譲歩(じょうほ),謙譲(けんじょう),
415,740,譲(讓),譲,ゆずる,譲る,ゆずる,,,,,譲る(ゆずる),,,
416,741,醸(釀),醸,ジョウ,醸造,じょうぞう,,,,,醸造(じょうぞう),,,
416,742,醸(釀),醸,かもす,醸す,かもす,,,,,醸す(かもす),,,
