漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
39,73,欧(歐),欧,オウ,欧文,おうぶん,西欧,せいおう,渡欧,とおう,欧文(おうぶん),西欧(せいおう),渡欧(とおう),
40,74,殴(毆),殴,オウ,殴打,おうだ,,,,,殴打(おうだ),,,
40,75,殴(毆),殴,なぐる,殴る,なぐる,,,,,殴る(なぐる),,,
41,76,翁,翁,オウ,老翁,ろうおう,,,,,老翁(ろうおう),,,
42,77,奥(奧),奥,オウ,奥義,おうぎ,,,,,奥義(おうぎ),,,「奥義」は，「おくギ」とも。
42,78,奥(奧),奥,おく,奥,おく,奥底,おくそこ,奥さん,おくさん,奥(おく),奥底(おくそこ),奥さん(おくさん),
43,79,憶,憶,オク,記憶,きおく,,,,,記憶(きおく),,,
44,80,虞,虞,おそれ,虞,おそれ,,,,,虞(おそれ),,,
45,81,乙,乙,オツ,乙種,おつしゅ,,,,,乙種(おつしゅ),,,乙女(おとめ)
46,82,卸,卸,おろす,卸す,おろす,,,,,卸す(おろす),,,←→下ろす，降ろす
46,83,卸,卸,おろし,卸,おろし,,,,,卸(おろし),,,
47,84,穏(穩),穏,オン,穏和,おんわ,穏当,おんとう,平穏,へいおん,穏和(おんわ),穏当(おんとう),平穏(へいおん),「安穏」は，「アンノン」。
47,85,穏(穩),穏,おだやか,穏やかだ,おだやかだ,,,,,穏やかだ(おだやかだ),,,
48,86,佳,佳,カ,佳作,かさく,佳人,かじん,絶佳,ぜっか,佳作(かさく),佳人(かじん),絶佳(ぜっか),
49,87,架,架,カ,架橋,かきょう,架空,かくう,書架,しょか,架橋(かきょう),架空(かくう),書架(しょか),
49,88,架,架,かける,架ける,かける,,,,,架ける(かける),,,←→掛ける，懸ける
49,89,架,架,かかる,架かる,かかる,,,,,架かる(かかる),,,←→掛かる，懸かる
50,90,華,華,カ,華美,かび,繁華,はんか,栄華,えいが,華美(かび),繁華(はんか),栄華(えいが),
50,91,華,華,ケ,香華,こうげ,,,,,香華(こうげ),,,
50,92,華,華,はな,華やかだ,はなやかだ,華やぐ,はなやぐ,華々しい,はなばなしい,華やかだ(はなやかだ),華やぐ(はなやぐ),華々しい(はなばなしい),←→花
51,93,菓,菓,カ,菓子,かし,製菓,せいか,茶菓,ちゃか,菓子(かし),製菓(せいか),茶菓(ちゃか),
52,94,渦,渦,カ,渦中,かちゅう,,,,,渦中(かちゅう),,,
52,95,渦,渦,うず,渦,うず,渦潮,うずしお,渦巻く,うずまく,渦(うず),渦潮(うずしお),渦巻く(うずまく),
53,96,嫁,嫁,カ,再嫁,さいよめ,転嫁,てんか,嫁する,かする,再嫁(さいよめ),転嫁(てんか),嫁する(かする),
53,97,嫁,嫁,よめ,嫁,よめ,,,,,嫁(よめ),,,
53,98,嫁,嫁,とつぐ,嫁ぐ,とつぐ,,,,,嫁ぐ(とつぐ),,,
54,99,暇,暇,カ,余暇,よか,休暇,きゅうか,寸暇,すんか,余暇(よか),休暇(きゅうか),寸暇(すんか),
54,100,暇,暇,ひま,暇,ひま,,,,,暇(ひま),,,
55,101,禍(),禍,カ,禍福,かふく,禍根,かこん,災禍,さいか,禍福(かふく),禍根(かこん),災禍(さいか),
56,102,靴,靴,カ,製靴,せいか,,,,,製靴(せいか),,,
56,103,靴,靴,くつ,靴,くつ,靴下,くつした,革靴,かわぐつ,靴(くつ),靴下(くつした),革靴(かわぐつ),
57,104,寡,寡,カ,寡黙,かもく,寡婦,かふ,多寡,たか,寡黙(かもく),寡婦(かふ),多寡(たか),
58,105,箇,箇,カ,箇条,かじょう,,,,,箇条(かじょう),,,
59,106,稼,稼,カ,稼業,かぎょう,,,,,稼業(かぎょう),,,
59,107,稼,稼,かせぐ,稼ぐ,かせぐ,,,,,稼ぐ(かせぐ),,,
60,108,蚊,蚊,か,蚊,か,蚊柱,かばしら,やぶ蚊,やぶか,蚊(か),蚊柱(かばしら),やぶ蚊(やぶか),蚊帳(かや)
